0x00;RLC (IY+{0:02X}), B
0x01;RLC (IY+{0:02X}), C
0x02;RLC (IY+{0:02X}), D
0x03;RLC (IY+{0:02X}), E
0x04;RLC (IY+{0:02X}), H
0x05;RLC (IY+{0:02X}), L
0x06;RLC (IY+{0:02X})
0x07;RLC (IY+{0:02X}), A
0x08;RRC (IY+{0:02X}), B
0x09;RRC (IY+{0:02X}), C
0x0A;RRC (IY+{0:02X}), D
0x0B;RRC (IY+{0:02X}), E
0x0C;RRC (IY+{0:02X}), H
0x0D;RRC (IY+{0:02X}), L
0x0E;RRC (IY+{0:02X})
0x0F;RRC (IY+{0:02X}), A
0x10;RL (IY+{0:02X}), B
0x11;RL (IY+{0:02X}), C
0x12;RL (IY+{0:02X}), D
0x13;RL (IY+{0:02X}), E
0x14;RL (IY+{0:02X}), H
0x15;RL (IY+{0:02X}), L
0x16;RL (IY+{0:02X})
0x17;RL (IY+{0:02X}), A
0x18;RR (IY+{0:02X}), B
0x19;RR (IY+{0:02X}), C
0x1A;RR (IY+{0:02X}), D
0x1B;RR (IY+{0:02X}), E
0x1C;RR (IY+{0:02X}), H
0x1D;RR (IY+{0:02X}), L
0x1E;RR (IY+{0:02X})
0x1F;RR (IY+{0:02X}), A
0x20;SLA (IY+{0:02X}), B
0x21;SLA (IY+{0:02X}), C
0x22;SLA (IY+{0:02X}), D
0x23;SLA (IY+{0:02X}), E
0x24;SLA (IY+{0:02X}), H
0x25;SLA (IY+{0:02X}), L
0x26;SLA (IY+{0:02X})
0x27;SLA (IY+{0:02X}), A
0x28;SRA (IY+{0:02X}), B
0x29;SRA (IY+{0:02X}), C
0x2A;SRA (IY+{0:02X}), D
0x2B;SRA (IY+{0:02X}), E
0x2C;SRA (IY+{0:02X}), H
0x2D;SRA (IY+{0:02X}), L
0x2E;SRA (IY+{0:02X})
0x2F;SRA (IY+{0:02X}), A
0x30;SLL (IY+{0:02X}), B
0x31;SLL (IY+{0:02X}), C
0x32;SLL (IY+{0:02X}), D
0x33;SLL (IY+{0:02X}), E
0x34;SLL (IY+{0:02X}), H
0x35;SLL (IY+{0:02X}), L
0x36;SLL (IY+{0:02X})
0x37;SLL (IY+{0:02X}), A
0x38;SRL (IY+{0:02X}), B
0x39;SRL (IY+{0:02X}), C
0x3A;SRL (IY+{0:02X}), D
0x3B;SRL (IY+{0:02X}), E
0x3C;SRL (IY+{0:02X}), H
0x3D;SRL (IY+{0:02X}), L
0x3E;SRL (IY+{0:02X})
0x3F;SRL (IY+{0:02X}), A
0x46;BIT 0, (IY+{0:02X})
0x4E;BIT 1, (IY+{0:02X})
0x56;BIT 2, (IY+{0:02X})
0x5E;BIT 3, (IY+{0:02X})
0x66;BIT 4, (IY+{0:02X})
0x6E;BIT 5, (IY+{0:02X})
0x76;BIT 6, (IY+{0:02X})
0x7E;BIT 7, (IY+{0:02X})
0x80;RES 0 (IY+{0:02X}), B
0x81;RES 0 (IY+{0:02X}), C
0x82;RES 0 (IY+{0:02X}), D
0x83;RES 0 (IY+{0:02X}), E
0x84;RES 0 (IY+{0:02X}), H
0x85;RES 0 (IY+{0:02X}), L
0x86;RES 0 (IY+{0:02X})
0x87;RES 0 (IY+{0:02X}), A
0x88;RES 1 (IY+{0:02X}), B
0x89;RES 1 (IY+{0:02X}), C
0x8A;RES 1 (IY+{0:02X}), D
0x8B;RES 1 (IY+{0:02X}), E
0x8C;RES 1 (IY+{0:02X}), H
0x8D;RES 1 (IY+{0:02X}), L
0x8E;RES 1 (IY+{0:02X})
0x8F;RES 1 (IY+{0:02X}), A
0x90;RES 2 (IY+{0:02X}), B
0x91;RES 2 (IY+{0:02X}), C
0x92;RES 2 (IY+{0:02X}), D
0x93;RES 2 (IY+{0:02X}), E
0x94;RES 2 (IY+{0:02X}), H
0x95;RES 2 (IY+{0:02X}), L
0x96;RES 2 (IY+{0:02X})
0x97;RES 2 (IY+{0:02X}), A
0x98;RES 3 (IY+{0:02X}), B
0x99;RES 3 (IY+{0:02X}), C
0x9A;RES 3 (IY+{0:02X}), D
0x9B;RES 3 (IY+{0:02X}), E
0x9C;RES 3 (IY+{0:02X}), H
0x9D;RES 3 (IY+{0:02X}), L
0x9E;RES 3 (IY+{0:02X})
0x9F;RES 3 (IY+{0:02X}), A
0xA0;RES 4 (IY+{0:02X}), B
0xA1;RES 4 (IY+{0:02X}), C
0xA2;RES 4 (IY+{0:02X}), D
0xA3;RES 4 (IY+{0:02X}), E
0xA4;RES 4 (IY+{0:02X}), H
0xA5;RES 4 (IY+{0:02X}), L
0xA6;RES 4 (IY+{0:02X})
0xA7;RES 4 (IY+{0:02X}), A
0xA8;RES 5 (IY+{0:02X}), B
0xA9;RES 5 (IY+{0:02X}), C
0xAA;RES 5 (IY+{0:02X}), D
0xAB;RES 5 (IY+{0:02X}), E
0xAC;RES 5 (IY+{0:02X}), H
0xAD;RES 5 (IY+{0:02X}), L
0xAE;RES 5 (IY+{0:02X})
0xAF;RES 5 (IY+{0:02X}), A
0xB0;RES 6 (IY+{0:02X}), B
0xB1;RES 6 (IY+{0:02X}), C
0xB2;RES 6 (IY+{0:02X}), D
0xB3;RES 6 (IY+{0:02X}), E
0xB4;RES 6 (IY+{0:02X}), H
0xB5;RES 6 (IY+{0:02X}), L
0xB6;RES 6 (IY+{0:02X})
0xB7;RES 6 (IY+{0:02X}), A
0xB8;RES 7 (IY+{0:02X}), B
0xB9;RES 7 (IY+{0:02X}), C
0xBA;RES 7 (IY+{0:02X}), D
0xBB;RES 7 (IY+{0:02X}), E
0xBC;RES 7 (IY+{0:02X}), H
0xBD;RES 7 (IY+{0:02X}), L
0xBE;RES 7 (IY+{0:02X})
0xBF;RES 7 (IY+{0:02X}), A
0xC0;SET 0 (IY+{0:02X}), B
0xC1;SET 0 (IY+{0:02X}), C
0xC2;SET 0 (IY+{0:02X}), D
0xC3;SET 0 (IY+{0:02X}), E
0xC4;SET 0 (IY+{0:02X}), H
0xC5;SET 0 (IY+{0:02X}), L
0xC6;SET 0 (IY+{0:02X})
0xC7;SET 0 (IY+{0:02X}), A
0xC8;SET 1 (IY+{0:02X}), B
0xC9;SET 1 (IY+{0:02X}), C
0xCA;SET 1 (IY+{0:02X}), D
0xCB;SET 1 (IY+{0:02X}), E
0xCC;SET 1 (IY+{0:02X}), H
0xCD;SET 1 (IY+{0:02X}), L
0xCE;SET 1 (IY+{0:02X})
0xCF;SET 1 (IY+{0:02X}), A
0xD0;SET 2 (IY+{0:02X}), B
0xD1;SET 2 (IY+{0:02X}), C
0xD2;SET 2 (IY+{0:02X}), D
0xD3;SET 2 (IY+{0:02X}), E
0xD4;SET 2 (IY+{0:02X}), H
0xD5;SET 2 (IY+{0:02X}), L
0xD6;SET 2 (IY+{0:02X})
0xD7;SET 2 (IY+{0:02X}), A
0xD8;SET 3 (IY+{0:02X}), B
0xD9;SET 3 (IY+{0:02X}), C
0xDA;SET 3 (IY+{0:02X}), D
0xDB;SET 3 (IY+{0:02X}), E
0xDC;SET 3 (IY+{0:02X}), H
0xDD;SET 3 (IY+{0:02X}), L
0xDE;SET 3 (IY+{0:02X})
0xDF;SET 3 (IY+{0:02X}), A
0xE0;SET 4 (IY+{0:02X}), B
0xE1;SET 4 (IY+{0:02X}), C
0xE2;SET 4 (IY+{0:02X}), D
0xE3;SET 4 (IY+{0:02X}), E
0xE4;SET 4 (IY+{0:02X}), H
0xE5;SET 4 (IY+{0:02X}), L
0xE6;SET 4 (IY+{0:02X})
0xE7;SET 4 (IY+{0:02X}), A
0xE8;SET 5 (IY+{0:02X}), B
0xE9;SET 5 (IY+{0:02X}), C
0xEA;SET 5 (IY+{0:02X}), D
0xEB;SET 5 (IY+{0:02X}), E
0xEC;SET 5 (IY+{0:02X}), H
0xED;SET 5 (IY+{0:02X}), L
0xEE;SET 5 (IY+{0:02X})
0xEF;SET 5 (IY+{0:02X}), A
0xF0;SET 6 (IY+{0:02X}), B
0xF1;SET 6 (IY+{0:02X}), C
0xF2;SET 6 (IY+{0:02X}), D
0xF3;SET 6 (IY+{0:02X}), E
0xF4;SET 6 (IY+{0:02X}), H
0xF5;SET 6 (IY+{0:02X}), L
0xF6;SET 6 (IY+{0:02X})
0xF7;SET 6 (IY+{0:02X}), A
0xF8;SET 7 (IY+{0:02X}), B
0xF9;SET 7 (IY+{0:02X}), C
0xFA;SET 7 (IY+{0:02X}), D
0xFB;SET 7 (IY+{0:02X}), E
0xFC;SET 7 (IY+{0:02X}), H
0xFD;SET 7 (IY+{0:02X}), L
0xFE;SET 7 (IY+{0:02X})
0xFF;SET 7 (IY+{0:02X}), A
