0x00;NOP
0x01;LD BC, {0:04X}
0x02;LD (BC), A
0x03;INC BC
0x04;INC B
0x05;DEC B
0x06;LD B, {0:02X}
0x07;RLCA
0x08;EX AF, AF'
0x09;ADD HL, BC
0x0A;LD A, (BC)
0x0B;DEC BC
0x0C;INC C
0x0D;DEC C
0x0E;LD C, {0:02X}
0x0F;RRCA
0x10;DJNZ, {0:02X}$
0x11;LD DE, {0:04X}
0x12;LD (DE), A
0x13;INC DE
0x14;INC D
0x15;DEC D
0x16;LD D, {0:02X}
0x17;RLA
0x18;JR, {0:02X}$
0x19;ADD HL, DE
0x1A;LD A, (DE)
0x1B;DEC DE
0x1C;INC E
0x1D;DEC E
0x1E;LD E, {0:02X)
0x1F;RRA
0x20;JR NZ, {0:02X}$
0x21;LD HL, {0:04X}
0x22;LD ({0:04X}), HL
0x23;INC HL
0x24;INC H
0x25;DEC H
0x26;LD H, {0:02X}
0x27;DAA
0x28;JR Z, {0:02X}$
0x29;ADD HL, HL
0x2A;LD HL, ({0:04X})
0x2B;DEC HL
0x2C;INC L
0x2D;DEC L
0x2E;LD L, {0:02X}
0x2F;CPL
0x30;JR NC, {0:02X}$
0x31;LD SP, {0:04X}
0x32;LD ({0:04X}), A
0x33;INC SP
0x34;INC (HL)
0x35;DEC (HL)
0x36;LD (HL), {0:02X}
0x37;SCF
0x38;JR C, {0:02X}$
0x39;ADD HL, SP
0x3A;LD A, ({0:04X})
0x3B;DEC SP
0x3C;INC A
0x3D;DEC A
0x3E;LD A, {0:02X}
0x3F;CCF
0x40;LD B, B
0x41;LD B, C
0x42;LD B, D
0x43;LD B, E
0x44;LD B, H
0x45;LD B, L
0x46;LD B, (HL)
0x47;LD B, A
0x48;LD C, B
0x49;LD C, C
0x4A;LD C, D
0x4B;LD C, E
0x4C;LD C, H
0x4D;LD C, L
0x4E;LD C, (HL)
0x4F;LD C, A
0x50;LD D, B
0x51;LD D, C
0x52;LD D, D
0x53;LD D, E
0x54;LD D, H
0x55;LD D, L
0x56;LD D, (HL)
0x57;LD D, A
0x58;LD E, B
0x59;LD E, C
0x5A;LD E, D
0x5B;LD E, E
0x5C;LD E, H
0x5D;LD E, L
0x5E;LD E, (HL)
0x5F;LD E, A
0x60;LD H, B
0x61;LD H, C
0x62;LD H, D
0x63;LD H, E
0x64;LD H, H
0x65;LD H, L
0x66;LD H, (HL)
0x67;LD H, A
0x68;LD L, B
0x69;LD L, C
0x6A;LD L, D
0x6B;LD L, E
0x6C;LD L, H
0x6D;LD L, L
0x6E;LD L, (HL)
0x6F;LD L, A
0x70;LD (HL), B
0x71;LD (HL), C
0x72;LD (HL), D
0x73;LD (HL), E
0x74;LD (HL), H
0x75;LD (HL), L
0x76;HALT
0x77;LD (HL), A
0x78;LD A, B
0x79;LD A, C
0x7A;LD A, D
0x7B;LD A, E
0x7C;LD A, H
0x7D;LD A, L
0x7E;LD A, (HL)
0x7F;LD A, A
0x80;ADD A, B
0x81;ADD A, C
0x82;ADD A, D
0x83;ADD A, E
0x84;ADD A, H
0x85;ADD A, L
0x86;ADD A, (HL)
0x87;ADD A, A
0x88;ADC A, B
0x89;ADC A, C
0x8A;ADC A, D
0x8B;ADC A, E
0x8C;ADC A, H
0x8D;ADC A, L
0x8E;ADC A, (HL)
0x8F;ADC A, A
0x90;SUB B
0x91;SUB C
0x92;SUB D
0x93;SUB E
0x94;SUB H
0x95;SUB L
0x96;SUB (HL)
0x97;SUB A
0x98;SBC A, B
0x99;SBC A, C
0x9A;SBC A, D
0x9B;SBC A, E
0x9C;SBC A, H
0x9D;SBC A, L
0x9E;SBC A, (HL)
0x9F;SBC A, A
0xA0;AND B
0xA1;AND C
0xA2;AND D
0xA3;AND E
0xA4;AND H
0xA5;AND L
0xA6;AND (HL)
0xA7;AND A
0xA8;XOR B
0xA9;XOR C
0xAA;XOR D
0xAB;XOR E
0xAC;XOR H
0xAD;XOR L
0xAE;XOR (HL)
0xAF;XOR A
0xB0;OR B
0xB1;OR C
0xB2;OR D
0xB3;OR E
0xB4;OR H
0xB5;OR L
0xB6;OR (HL)
0xB7;OR A
0xB8;CP B
0xB9;CP C
0xBA;CP D
0xBB;CP E
0xBC;CP H
0xBD;CP L
0xBE;CP (HL)
0xBF;CP A
0xC0;RET NZ
0xC1;POP BC
0xC2;JP NZ, {0:04X}
0xC3;JP {0:04X}
0xC4;CALL NZ, {0:04X}
0xC5;PUSH BC
0xC6;ADD A, {0:02X}
0xC7;RST 00H
0xC8;RET Z
0xC9;RET
0xCA;JP Z, {0:04X}
0xCC;CALL Z, {0:04X}
0xCD;CALL {0:04X}
0xCE;ADC A, {0:02X}
0xCF;RST 08H
0xD0;RET NC
0xD1;POP DE
0xD2;JP NC, {0:04X}
0xD3;OUT ({0:02X}), A
0xD4;CALL NC, {0:04X}
0xD5;PUSH DE
0xD6;SUB {0:02X}
0xD7;RST 10H
0xD8;RET C
0xD9;EXX
0xDA;JP C, {0:04X}
0xDB;IN A, ({0:02X})
0xDC;CALL C, {0:04X}
0xDE;SBC A, {0:02X}
0xDF;RST 18H
0xE0;RET PO
0xE1;POP HL
0xE2;JP PO, {0:04X}
0xE3;EX (SP), HL
0xE4;CALL PO, {0:04X}
0xE5;PUSH HL
0xE6;AND {0:02X}
0xE7;RST 20H
0xE8;RET PE
0xE9;JP (HL)
0xEA;JP PE, {0:04X}
0xEB;EX DE, HL
0xEC;CALL PE, {0:04X}
0xEE;XOR {0:02X}
0xEF;RST 28H
0xF0;RET P
0xF1;POP AF
0xF2;JP P, {0:04X}
0xF3;DI
0xF4;CALL P, {0:04X}
0xF5;PUSH AF
0xF6;OR {0:02X}
0xF7;RST 30H
0xF8;RET M
0xF9;LD SP, HL
0xFA;JP M, {0:04X}
0xFB;EI
0xFC;CALL M, {0:04X}
0xFE;CP {0:02X}
0xFF;RST 38H
